created_at,title,content
2023-05-07 10:00:00+00,첫 번째 게시글입니다,Supabase와 Next.js를 이용한 데이터 연동 테스트입니다.
2024-03-11 11:30:00+00,두 번째 공지사항,새로운 기능이 업데이트되었습니다. 확인 부탁드립니다.
2025-07-12 09:15:00+00,오늘의 날씨 정보,오늘은 전국이 맑고 화창한 날씨가 이어지겠습니다.
2025-11-03 14:20:00+00,프로젝트 일정 안내,이번 주 금요일까지 1차 마일스톤을 완료해야 합니다.
2026-01-02 16:45:00+00,점심 메뉴 추천,오늘 점심은 근처 새로 생긴 파스타 맛집 어떠신가요?
2026-01-17 10:05:00+00,데이터베이스 백업 완료,정기 데이터베이스 백업 작업이 성공적으로 수행되었습니다.
2026-02-09 13:00:00+00,시스템 점검 공지,내일 새벽 2시부터 4시까지 서버 점검이 예정되어 있습니다.
2026-03-12 11:10:00+00,신규 가입자 환영 인사,새로 가입하신 모든 분들을 진심으로 환영합니다!
2026-03-23 08:30:00+00,주간 업무 보고서,지난주 진행된 모든 태스크의 결과 보고서입니다.
2026-04-02 17:55:00+00,마지막 테스트 데이터,CSV 임포트 기능을 테스트하기 위한 마지막 행입니다.
2026-04-03 07:20:00+00,아침 조깅 완료,공원 한 바퀴 돌고 오니 상쾌하네요. 역시 아침 공기가 최고입니다.
2026-04-03 21:00:00+00,읽고 있는 책 기록,타이탄의 도구들을 다시 읽기 시작했습니다. 밑줄 칠 내용이 참 많네요.
2026-04-04 12:30:00+00,주말 대청소,창고 정리부터 옷장까지 싹 비웠습니다. 미니멀리즘 실천 중!
2026-04-04 18:00:00+00,저녁 요리 도전,유튜브 보고 스테이크 구웠는데 생각보다 잘 구워져서 만족스럽습니다.
2026-04-05 10:00:00+00,카페 카공 기록,집 근처 조용한 카페에서 코딩 공부 중입니다. 집중이 잘 되네요.
2026-04-05 15:40:00+00,넷플릭스 영화 추천,최근에 본 SF 영화가 여운이 길게 남네요. 꼭 한번 보시길!
2026-04-06 09:00:00+00,월요병 극복하기,월요일 아침이지만 진한 커피 한 잔과 함께 힘차게 시작해 봅니다.
2026-04-06 20:15:00+00,운동 일지,오늘은 하체 위주로 웨이트 트레이닝 1시간 완료했습니다.
2026-04-07 11:00:00+00,새로운 플레이리스트,작업할 때 듣기 좋은 로파이 비트 리스트를 발견했습니다. 공유하고 싶네요.
2026-04-07 23:30:00+00,오늘의 감사 일기,맛있는 밥을 먹었고 날씨가 좋았으며 친구와 즐거운 대화를 나눴습니다.
2026-04-08 08:45:00+00,출근길 단상,지하철에서 사람들을 구경하며 오늘 하루의 목표를 세워봅니다.
2026-04-08 14:00:00+00,팀 미팅 결과,새로운 프로젝트 방향성이 결정되었습니다. 다음 주부터 본격 시작입니다.
2026-04-08 19:20:00+00,퇴근 후 산책,해 질 녘 노을이 너무 예뻐서 사진 한 장 찍었습니다. 힐링 되네요.
2026-04-09 06:30:00+00,미라클 모닝 1일차,일찍 일어나서 명상하고 일기를 썼습니다. 꾸준히 해보려 합니다.
2026-04-09 13:10:00+00,점심 후 낮잠,15분 정도 짧게 잤는데 컨디션이 확 살아나네요. 낮잠의 힘!
2026-04-09 17:00:00+00,업무 마무리,오늘 할 일 리스트를 모두 지웠습니다. 가벼운 마음으로 퇴근 준비합니다.
